Hump,95,92,28,90,93,15,89,43,31,53
Bloodsand,64,97,68,53,66,20,78,55,40,35
Cryoluck,99,84,70,83,72,99,99,82,18,64
Imoogii,89,90,65,60,73,46,61,86,62,60
Cloara,43,71,56,41,33,28,49,76,47,70
Ajlo,95,19,83,18,90,83,91,9,83,65
Försaker,96,96,95,87,59,13,92,13,99,58
Nspace,77,62,33,67,51,67,82,77,68,89
Loppykickin,81,74,77,84,81,83,77,87,15,74
Lunorah,96,94,89,98,98,91,98,2,94,70
Irondan,64,84,81,94,98,90,55,77,92,48
Susiederkins,82,86,56,18,16,70,94,59,46,70
Furmak,74,57,96,41,84,54,86,84,90,19
Aerysv,90,95,67,81,97,19,96,80,89,35
Hamborkers,97,25,92,4,96,90,93,93,12,73
Rockpew,72,97,89,86,86,90,92,80,24,-1
Sharial,97,82,96,80,99,98,96,95,87,81
Defaa,90,86,54,66,91,86,94,43,48,40
Phî,81,89,89,76,96,88,94,76,88,70
Kaéj,65,86,65,49,58,42,41,42,15,44
Priestîsm,99,99,99,92,95,98,98,99,98,9
Lizbehth,83,70,94,88,80,87,61,77,59,98
Knoots,95,94,69,15,92,13,83,68,65,35
Kerrsed,94,5,96,93,34,91,92,9,29,85
Avandria,98,99,94,99,98,99,99,32,99,67
Émm,96,99,91,37,96,18,97,54,11,77
Goozidan,80,82,65,53,90,17,94,38,84,49
Design,87,89,51,85,91,16,88,82,91,67
