Timestamp	1.  I raid because I want to...	2.  Which aspect(s) of the raid team do you think the guild needs to focus on in recruiting? (check all that apply)	3.  I think the officers are on the same page about the goals of the guild	4.  I think the officers listen to feedback during progression and adjust accordingly	5.  I think the officers do a good job providing feedback to the raid and/or individuals when applicable	6.  I think the officers do a good job with loot distribution	7.  I think the officers do a good job with picking the most optimal raid composition for progression	8.  I am satisfied with how we spend raid time	9.  I am satisfied with our performance in Nighthold	10.  I think we will achieve Cutting Edge in Tomb of Sargeras	11.  In the early weeks of Tomb of Sargeras opening, we will have a lot of content to squeeze in.  How do you feel we should best prioritize our raid time?	12.  If we run out of time in the early weeks of Tomb of Sargeras opening, how do you feel about adding a 4th raiding night? (check all that apply)	13.  One thing the officers should do that would improve my personal raid time is...	14.  One thing the officers should do that would improve the overall guild is...	15.  Enter any additional comments here:
6/11/2017 21:33:08	4	None of the above	5	5	5	5	5	5	5	5	Mythic Elisande & Gul'dan (mount) > Mythic ToS > Heroic ToS	I support it, and I should be able to attend on Monday, I support it, and I should be able to attend on Wednesday			
6/11/2017 21:33:19	7	None of the above	4	5	5	5	4	4	3	5	Heroic ToS > Mythic Elisande & Gul'dan (mount) > Mythic ToS	I support it, and I should be able to attend on Monday	its all good now.		
6/11/2017 21:33:27	4	Ranged DPS	5	4	3	5	4	4	4	5	Heroic ToS > Mythic ToS > Mythic Elisande & Gul'dan (mount)	I support it, and I should be able to attend on Friday, I support it, and I should be able to attend on Saturday	So I wanna make some spreadsheet to see who is in our out for bosses so we can switch faster...although i try to ask way ahead while doing trash	Get us better players	
6/11/2017 21:33:33	6	Ranged DPS	3	3	4	4	4	4	3	4	Heroic ToS > Mythic ToS > Mythic Elisande & Gul'dan (mount)	I support it, and I should be able to attend on Monday, I support it, and I should be able to attend on Wednesday, I support it, and I should be able to attend on Friday, I support it, and I should be able to attend on Saturday	fuck defa	fuck defa	fuck defa
6/11/2017 21:34:45	7	Ranged DPS, Melee DPS, None of the above	4	3	4	5	4	5	3	5	Mythic ToS > Heroic ToS > Mythic Elisande & Gul'dan (mount)	I don't support it, we should stick to 9 hours/week even if it means not clearing all of the content	Make sure we start on time	Make sure that we are addressing issues are are causing us to wipe, instead of pulling silently and dying to the same thing repeatedly	
6/11/2017 21:34:55	3	None of the above	4	4	4	5	5	4	5	5	Mythic Elisande & Gul'dan (mount) > Heroic ToS > Mythic ToS	I support it, and I should be able to attend on Monday, I support it, and I should be able to attend on Wednesday, I support it, and I should be able to attend on Friday, I support it, and I should be able to attend on Saturday	kill shit faster 	more surveys	Fuck bitches, we the best
6/11/2017 21:35:00	4	Ranged DPS	5	4	4	5	5	5	2	4	Heroic ToS > Mythic ToS > Mythic Elisande & Gul'dan (mount)	I support it, and I should be able to attend on Monday, I support it, and I should be able to attend on Wednesday, I support it, and I should be able to attend on Friday, I support it, and I should be able to attend on Saturday			It sucked that we missed so many Sundays during Guldan progression. Let's try to get back to the 26-27 roster
6/11/2017 21:35:30	5	Tanks, Ranged DPS	4	3	4	4	4	3	4	4	Mythic ToS > Mythic Elisande & Gul'dan (mount) > Heroic ToS	I support it, and I should be able to attend on Monday, I support it, and I should be able to attend on Friday, I support it, and I should be able to attend on Saturday	Be happy!	Have strats organized/talked about ahead of time	
6/11/2017 21:36:42	6	Healing, Tanks, Ranged DPS, Melee DPS	5	5	5	5	5	5	5	5	Mythic ToS > Heroic ToS > Mythic Elisande & Gul'dan (mount)	I support it, and I should be able to attend on Monday, I support it, and I should be able to attend on Wednesday, I support it, and I should be able to attend on Friday, I support it, and I should be able to attend on Saturday			
6/11/2017 21:36:44	4	Ranged DPS	3	3	4	5	5	4	3	4	Mythic ToS > Heroic ToS > Mythic Elisande & Gul'dan (mount)	I support it, and I should be able to attend on Monday, I support it, and I should be able to attend on Wednesday		Not calling raid early. An extra hour on a new boss, even if comp is optimal is still a learning experience.	For question 1, I answered in the middle because I want to kill bosses with fun people. I don't care about loot/achievements - I just want to have fun with people that I enjoy spending 9+ hrs/week with, and I think we've created that atmosphere here. I enjoy raiding with many of the raiders in Caustic.
