Item name,Link
Gaze of Fleeting Hours,http://www.wowhead.com/item=137415
Corpse Feast Headwrap,http://www.wowhead.com/item=137427
Vigilant Bondbreaker Headdress,http://www.wowhead.com/item=134446
Soulstarve Hood,http://www.wowhead.com/item=134440
Swordsinger's Shoulders,http://www.wowhead.com/item=134286
Spaulders of Aberrant Inhibition,http://www.wowhead.com/item=134453
Spaulders of Unstable Experiments,http://www.wowhead.com/item=134454
Spaulders of Tense Sinew,http://www.wowhead.com/item=137455
Felbat Leather Vest,http://www.wowhead.com/item=134373
Tunic of the Underworld,http://www.wowhead.com/item=134439
Wicked Broodmother's Chestguard,http://www.wowhead.com/item=137449
Felbat Leather Vest,http://www.wowhead.com/item=134373
Swordsinger's Wristguards,http://www.wowhead.com/item=134280
Compact Trifold Wristbands,http://www.wowhead.com/item=137442
Cryptwalker Bracers,http://www.wowhead.com/item=137425
Felbat Leather Wristwraps,http://www.wowhead.com/item=134368
Shorn Batbrood Cuffs,http://www.wowhead.com/item=136979
Mana-Lanced Gloves,http://www.wowhead.com/item=134444
Frostcraver%20Grips,error in search
Felbat Leather Gloves,http://www.wowhead.com/item=134371
Ravencrest Bonecrush Gauntlets,http://www.wowhead.com/item=134519
Manafang Waistguard,http://www.wowhead.com/item=137409
Blightbile Waistband,http://www.wowhead.com/item=137435
Sash of the Twilight Princess,http://www.wowhead.com/item=134457
Raven's Veil Belt,http://www.wowhead.com/item=139243
Bloodclaw Leggings,http://www.wowhead.com/item=134449
D-Lux Slipstream Pants,http://www.wowhead.com/item=134450
Felbat Leather Leggings,http://www.wowhead.com/item=134370
Legguards of Endless Horrors,http://www.wowhead.com/item=134451
Tunnel Trudger Footguards,http://www.wowhead.com/item=137397
Toxin-Stitched Footwraps,http://www.wowhead.com/item=137448
Tooled Rivermoor Boots,http://www.wowhead.com/item=134442
