Item name,Link
Mardum Chain Helm,http://www.wowhead.com/item=134387
Cowl of Promising News,http://www.wowhead.com/item=137479
Mithril Melon Vault,http://www.wowhead.com/item=137443
Shadow Archer's Helm,http://www.wowhead.com/item=139244
Arcane Exterminator's Shoulderguards,http://www.wowhead.com/item=134472
Mantle of the Abyss,http://www.wowhead.com/item=134479
Mardum Chain Pauldrons,http://www.wowhead.com/item=134389
Shadow Archer's Spaulders,http://www.wowhead.com/item=139245
Decontaminated Chain Tunic,http://www.wowhead.com/item=134463
Constricting Chain Harness,http://www.wowhead.com/item=137460
Chestguard of Ravaged Chitin,http://www.wowhead.com/item=137428
Mardum Chain Vest,http://www.wowhead.com/item=134390
Mardum Chain Vest,http://www.wowhead.com/item=134390
Remorseless Chain Armbands,http://www.wowhead.com/item=137405
Cuffs of the Nerubian Empire,http://www.wowhead.com/item=134485
Mardum%20Chain%20Wristlamp,error in search
Nether Mindsnappers,http://www.wowhead.com/item=134467
Ley Dragoon's Gloves,http://www.wowhead.com/item=134297
Gloves of Flesh-Shaping,http://www.wowhead.com/item=134468
Midnight Reaper Handwraps,http://www.wowhead.com/item=134469
Chain of Causal Links,http://www.wowhead.com/item=137416
Cinch of Frozen Fear,http://www.wowhead.com/item=134482
Belt of Mighty Links,http://www.wowhead.com/item=137456
Soul-Torn Fury Cinch,http://www.wowhead.com/item=136724
Mute Erasure Legguards,http://www.wowhead.com/item=134475
Wyrmwing Kilt,http://www.wowhead.com/item=134476
Leggings of Acidic Venom,http://www.wowhead.com/item=137450
Fel-Hammered%20Geaves,error in search
Ley%20Dragoon's%20Footguards,error in search
Plasma-Drilled%20Steed%20Toes,error in search
Begrudging Trudgers,http://www.wowhead.com/item=134466
Ravencrest's Unerring Striders,http://www.wowhead.com/item=134477
