Item name,Link
Manawracker Crown,http://www.wowhead.com/item=134304
Collar of Enclosure,http://www.wowhead.com/item=134424
Hood of Ancient Evil,http://www.wowhead.com/item=134425
Millificent's Turboview Specs,http://www.wowhead.com/item=137441
Collar of Raking Claws,http://www.wowhead.com/item=134426
Manawracker Shoulders,http://www.wowhead.com/item=134309
Magnificent Aeroglide Shoulderpads,http://www.wowhead.com/item=134430
Lair Matron's Spaulders,http://www.wowhead.com/item=137447
Ravencourt Formal Mantle,http://www.wowhead.com/item=139247
Sheer Felthreaded Robe,http://www.wowhead.com/item=141427
Robe of Fever Dreams,http://www.wowhead.com/item=141495
Fluxflow Robes,http://www.wowhead.com/item=134413
Fetid Gutcover Apron,http://www.wowhead.com/item=134414
Netherwhipser%20Robes,error in search
Ravencourt%20Formal%20Robs,error in search
Tunnel Fiend Bracers,http://www.wowhead.com/item=134435
Split-Vein Bracers,http://www.wowhead.com/item=137434
Armbands of Slaughter,http://www.wowhead.com/item=134436
Harrowing Soulspun Bracers,http://www.wowhead.com/item=134437
Ink-Smudged Handwraps,http://www.wowhead.com/item=134421
Satin Throatclutchers,http://www.wowhead.com/item=134422
Scarab-Caller Grips,http://www.wowhead.com/item=134418
Netherwhisper Gloves,http://www.wowhead.com/item=134393
Latosius's Blasting Gloves,http://www.wowhead.com/item=134431
Time-Breached Waistband,http://www.wowhead.com/item=137413
Cinch of Freezing Fog,http://www.wowhead.com/item=134434
Netherwhisper Cinch,http://www.wowhead.com/item=134391
Legwraps of Reverberating Shadows,http://www.wowhead.com/item=137404
Burrow-Dweller Leggings,http://www.wowhead.com/item=137424
Legwraps of Rampant Turmoil,http://www.wowhead.com/item=137453
Netherwhisper Leggings,http://www.wowhead.com/item=134394
Netherwhisper Slippers,http://www.wowhead.com/item=134396
Footguards of Stayed Execution,http://www.wowhead.com/item=137454
Slippers of Heedless Sacrifice,http://www.wowhead.com/item=134419
