Item name,Link
Greathelm of Barbed Chelicerae,http://www.wowhead.com/item=137410
Insurmountable Skullfortress,http://www.wowhead.com/item=137445
Vision of the Spider Queen,http://www.wowhead.com/item=137451
Portalguard Helm,http://www.wowhead.com/item=134358
Frozen Pendulum Shoulderguards,http://www.wowhead.com/item=134518
Dread-Stricken Shoulderguards,http://www.wowhead.com/item=134521
Portalguard%20Shoudlers,error in search
Pauldrons of Ancient Command,http://www.wowhead.com/item=134510
Crackling Overcharge Chestguard,http://www.wowhead.com/item=134501
Slimeflow Breastplate,http://www.wowhead.com/item=137437
Arcane Defender's Breastplate,http://www.wowhead.com/item=134267
Chestplate of the Obstinate Conqueror,http://www.wowhead.com/item=137457
Etheldrin's Breastplate,http://www.wowhead.com/item=136976
Detention Wristclamps,http://www.wowhead.com/item=134522
Despair-Bound Armplates,http://www.wowhead.com/item=137431
Exo-Mesh Carpalform Armplates Mk. VII,http://www.wowhead.com/item=134502
Portalguard Wristguard,http://www.wowhead.com/item=134362
Fists of the Legion,http://www.wowhead.com/item=134509
Serrated Mandible Grips,http://www.wowhead.com/item=137429
Pustulous Girdle,http://www.wowhead.com/item=137436
Arcane Defender's Belt,http://www.wowhead.com/item=134269
Portalguard Waistplate,http://www.wowhead.com/item=134357
Portalguard Legplates,http://www.wowhead.com/item=134359
Tassets of Ravenous Euphoria,http://www.wowhead.com/item=134516
Legplates of the Swarm,http://www.wowhead.com/item=134506
Greaves of Ruinous Dominion,http://www.wowhead.com/item=134515
Rook Footman's Legplates,http://www.wowhead.com/item=139240
Treads of Fates Entwined,http://www.wowhead.com/item=137417
Etched Dragonbone Warboots,http://www.wowhead.com/item=134523
Leadfoot Earthshakers,http://www.wowhead.com/item=134507
Rook Footman's Warboots,http://www.wowhead.com/item=139241
