Item name,Link
Bonespeaker Cowl,http://www.wowhead.com/item=134216
Mana Scavenger's Mask,http://www.wowhead.com/item=141449
Netherwhisper Hood,http://www.wowhead.com/item=134392
Collar of Enclosure,http://www.wowhead.com/item=134424
Netherwhisper Hood,http://www.wowhead.com/item=134392
Hood of Ancient Evil,http://www.wowhead.com/item=134425
Night Dreamer Crest,http://www.wowhead.com/item=139086
Collar of Raking Claws,http://www.wowhead.com/item=134426
Cragshaper's Fitted Hood,http://www.wowhead.com/item=137341
Hood of Scorned Brood,http://www.wowhead.com/item=141414
Hood of Indignation,http://www.wowhead.com/item=137502
Seawitch Hood,http://www.wowhead.com/item=134260
Millificent's Turboview Specs,http://www.wowhead.com/item=137441
Manawracker Crown,http://www.wowhead.com/item=134304
,
Padawsen's Squished Pauldrons,http://www.wowhead.com/item=141416
Bonespeaker Mantle,http://www.wowhead.com/item=134221
Amice of the Unfurling Tempest,http://www.wowhead.com/item=134432
Magnificent Aeroglide Shoulderpads,http://www.wowhead.com/item=134430
Lair Matron's Spaulders,http://www.wowhead.com/item=137447
Roggthread Mantle,http://www.wowhead.com/item=134177
Slipstream Shoulderpads,http://www.wowhead.com/item=137309
Amice of Cruel Laughter,http://www.wowhead.com/item=137503
Infernal Mantle of Conquest,http://www.wowhead.com/item=136775
Manawracker Shoulders,http://www.wowhead.com/item=134309
Shoulderpads of Crashing Waves,http://www.wowhead.com/item=137360
Ravencourt Formal Mantle,http://www.wowhead.com/item=139247
,
Sheer Felthreaded Robe,http://www.wowhead.com/item=141427
Tunic of Smoldering Ire,http://www.wowhead.com/item=137352
Flameheart Vestment,http://www.wowhead.com/item=137504
Netherwhisper Robes,http://www.wowhead.com/item=134395
Bonespeaker Robes,http://www.wowhead.com/item=134219
Night Dreamer Robe,http://www.wowhead.com/item=139089
Fluxflow Robes,http://www.wowhead.com/item=134413
Robe of Fever Dreams,http://www.wowhead.com/item=141495
Arcanist's Resonant Robes,http://www.wowhead.com/item=134415
Seawitch Robes,http://www.wowhead.com/item=134263
Fetid Gutcover Apron,http://www.wowhead.com/item=134414
Ravencourt Formal Robes,http://www.wowhead.com/item=139246
Soul-Stitched Robes,http://www.wowhead.com/item=133611
,
Snowdrift Bracers,http://www.wowhead.com/item=141428
Bonespeaker Bracers,http://www.wowhead.com/item=134222
Harrowing Soulspun Bracers,http://www.wowhead.com/item=134437
Netherwhisper Wristguard,http://www.wowhead.com/item=134398
Tunnel Fiend Bracers,http://www.wowhead.com/item=134435
Wristbands of the Swirling Deeps,http://www.wowhead.com/item=137372
Armbands of Slaughter,http://www.wowhead.com/item=134436
Sunfrost Wristwraps,http://www.wowhead.com/item=139130
Split-Vein Bracers,http://www.wowhead.com/item=137434
Wristbands of Cursed Torment,http://www.wowhead.com/item=137314
Manawracker Bindings,http://www.wowhead.com/item=134310
Frost-Stricken Cuffs,http://www.wowhead.com/item=133614
,
Gloves of Unseen Evil,http://www.wowhead.com/item=137506
Terrorweave Gloves,http://www.wowhead.com/item=121325
Bonespeaker Gloves,http://www.wowhead.com/item=134217
Bonespeaker Gloves,http://www.wowhead.com/item=134217
Silken Bloodscent Gloves,http://www.wowhead.com/item=133609
Scarab-Caller Grips,http://www.wowhead.com/item=134418
Netherwhisper Gloves,http://www.wowhead.com/item=134393
Faded Bloodsail Handwraps,http://www.wowhead.com/item=141470
Satin Throatclutchers,http://www.wowhead.com/item=134422
Gloves of the Mountain Conquest,http://www.wowhead.com/item=134420
Latosius's Blasting Gloves,http://www.wowhead.com/item=134431
Whirlpool Gloves,http://www.wowhead.com/item=141435
Seawitch Gloves,http://www.wowhead.com/item=134261
Ink-Smudged Handwraps,http://www.wowhead.com/item=134421
,
Netherwhisper Cinch,http://www.wowhead.com/item=134391
Time-Breached Waistband,http://www.wowhead.com/item=137413
Cord of Wicked Pyromania,http://www.wowhead.com/item=137488
Roggthread Cord,http://www.wowhead.com/item=134171
Waistband of Spiritual Doom,http://www.wowhead.com/item=137507
Cinch of Freezing Fog,http://www.wowhead.com/item=134434
Belt of Eternal Torment,http://www.wowhead.com/item=137331
Cord of Kept Souls,http://www.wowhead.com/item=141434
Solsten's Arcing Runecord,http://www.wowhead.com/item=133613
Poisonroot Belt,http://www.wowhead.com/item=134423
Seawitch Cinch,http://www.wowhead.com/item=134259
Cord of the Sea-Caller,http://www.wowhead.com/item=134433
,
Bonespeaker Leggings,http://www.wowhead.com/item=134218
Burrow-Dweller Leggings,http://www.wowhead.com/item=137424
Netherwhisper Leggings,http://www.wowhead.com/item=134394
Legwraps of Rampant Turmoil,http://www.wowhead.com/item=137453
Na'zak's Dusty Pantaloons,http://www.wowhead.com/item=141415
Leggings of Swirling Runes,http://www.wowhead.com/item=133610
Suramar Magistrate Leggings,http://www.wowhead.com/item=137496
Legwraps of Reverberating Shadows,http://www.wowhead.com/item=137404
Leggings of the Third Degree,http://www.wowhead.com/item=137505
Riverrider Legwraps,http://www.wowhead.com/item=134427
Rising Ocean Legwraps,http://www.wowhead.com/item=134428
Oakheart's Trunkwarmers,http://www.wowhead.com/item=137304
,
Paranoid Sprinters,http://www.wowhead.com/item=137319
Slippers of Heedless Sacrifice,http://www.wowhead.com/item=134419
Netherwhisper Slippers,http://www.wowhead.com/item=134396
Slippers of Martyrdom,http://www.wowhead.com/item=134417
Shadewalker Footwraps,http://www.wowhead.com/item=137508
Mistbound Helarjar Footwraps,http://www.wowhead.com/item=133608
Manawracker Sandals,http://www.wowhead.com/item=134308
Sandals of Frozen Ash,http://www.wowhead.com/item=141443
Footguards of Stayed Execution,http://www.wowhead.com/item=137454
Cushioned Treads of Glory,http://www.wowhead.com/item=136774
Offal Galoshes,http://www.wowhead.com/item=134416
Treads of Light,http://www.wowhead.com/item=139280
